PMID;DP;TI;AB;MH
27080137;2016 Jun;Diabetes mellitus and its complications in India.;India is one of the epicentres of the global diabetes mellitus pandemic. Rapid socioeconomic development and demographic changes, along with increased susceptibility for Indian individuals, have led to the explosive increase in the prevalence of diabetes mellitus in India over the past four decades. Type 2 diabetes mellitus in Asian Indian people is characterized by a young age of onset and occurrence at low levels of BMI. Available data also suggest that the susceptibility of Asian Indian people to the complications of diabetes mellitus differs from that of white populations. Management of this disease in India faces multiple challenges, such as low levels of awareness, paucity of trained medical and paramedical staff and unaffordability of medications and services. Novel interventions using readily available resources and technology promise to revolutionise the care of patients with diabetes mellitus in India. As many of these challenges are common to most developing countries of the world, the lessons learnt from India's experience with diabetes mellitus are likely to be of immense global relevance. In this Review, we discuss the epidemiology of diabetes mellitus and its complications in India and outline the advances made in the country to ensure adequate care. We make specific references to novel, cost-effective interventions, which might be of relevance to other low-income and middle-income countries of the world.;Developing Countries, Diabetes Complications/*epidemiology/etiology/therapy, Diabetes Mellitus, Type 1/complications/epidemiology/therapy, Diabetes Mellitus, Type 2/complications/*epidemiology/therapy, Diabetes, Gestational/epidemiology/therapy, Female, Health Care Costs, Humans, India/epidemiology, Male, Pregnancy, Prevalence
9803200;1998 Oct 15;Diagnosis and classification of diabetes mellitus: new criteria.;"New recommendations for the classification and diagnosis of diabetes mellitus include the preferred use of the terms ""type 1"" and ""type 2"" instead of ""IDDM"" and ""NIDDM"" to designate the two major types of diabetes mellitus; simplification of the diagnostic criteria for diabetes mellitus to two abnormal fasting plasma determinations; and a lower cutoff for fasting plasma glucose (126 mg per dL [7 mmol per L] or higher) to confirm the diagnosis of diabetes mellitus. These changes provide an easier and more reliable means of diagnosing persons at risk of complications from hyperglycemia. Currently, only one half of the people who have diabetes mellitus have been diagnosed. Screening for diabetes mellitus should begin at 45 years of age and should be repeated every three years in persons without risk factors, and should begin earlier and be repeated more often in those with risk factors. Risk factors include obesity, first-degree relatives with diabetes mellitus, hypertension, hypertriglyceridemia or previous evidence of impaired glucose homeostasis. Earlier detection of diabetes mellitus may lead to tighter control of blood glucose levels and a reduction in the severity of complications associated with this disease.";Blood Glucose/metabolism, Diabetes Mellitus/blood/*classification/*diagnosis/etiology, Diabetes Mellitus, Type 1/classification/diagnosis, Diabetes Mellitus, Type 2/classification/diagnosis, Diagnosis, Differential, Glycated Hemoglobin A/metabolism, Humans, Mass Screening, Patient Education as Topic, Risk Factors, Teaching Materials
15137354;2004 Apr-Jun;Pathophysiology of diabetes mellitus.;"As we learn more about the pathophysiology of diabetes mellitus, we find that there is more yet to be learned. This may sound like a trite statement, but in reality it is true. The following article reviews the basic pathophysiology of both type 1 diabetes mellitus and type 2 diabetes mellitus as we understand it today. It continues on to reveal the ""things that go wrong"" when there is too much or too little glucose available to the body organs and especially to the brain. The article points out the signs and symptoms to be aware of when the person is in the acute state of diabetic ketoacidosis, hyperglycemic hyperosmolar nonketotic coma (or state), and severe hypoglycemia. It concludes with important considerations when the individual is in one of these acute states and contributes key points related to the control of diabetes when the person is in the state of compromise.";Diabetes Mellitus, Type 1/complications/*metabolism/*physiopathology/therapy, Diabetes Mellitus, Type 2/complications/*metabolism/*physiopathology/therapy, Diabetic Angiopathies/etiology, Diabetic Ketoacidosis/etiology, Diabetic Neuropathies/etiology, Humans, Hyperglycemic Hyperosmolar Nonketotic Coma/etiology, Hypoglycemia/etiology, Insulin Resistance
8481881;1993 Apr;Diabetes mellitus.;"Diabetes mellitus occurs commonly in the older patient and is frequently undiagnosed. In many cases, the initial manifestations of diabetes mellitus are lower extremity complications with which this disease is known to be associated. Unfortunately, these complications are similar to other age-related degenerative processes; therefore, vigilance for the detection of undiagnosed diabetes mellitus is essential in the evaluation and treatment of lower extremity pathologic conditions.";Adult, Aged, Aging, Diabetes Complications, Diabetes Mellitus/diagnosis/epidemiology/physiopathology, Humans, Middle Aged
23185815;2012 Jan 18;[Diabetes mellitus].;The globalization became the topic the most often discussed in the socio-economic field by the media. The direct and indirect effects on the chronic diseases are not fully explored, especially by the biomedicine. Through the filter of the complex thought, which connects instead of disjoining, we try to widen the debate around the diabetes which became an emblematic disease. This change of perspective should enable us to approach the chronic diseases differently. It is the objective of this review.;Biomarkers/blood. Chronic Disease, Diabetes Mellitus/blood/diagnosis/economics/*epidemiology/*prevention & control, Diabetes Mellitus, Type 1/epidemiology/prevention & control, Diabetes Mellitus, Type 2/epidemiology/prevention & control, Global Health, Glycated Hemoglobin A/*metabolism, Humans, Internationality, Meta-Analysis as Topic, Prevalence, Risk Factors, Social Class, Switzerland/epidemiology
32520460;2020 Jun 10;[Diabetes mellitus: impact of affects on self-management skills].;Diabetes self-management (DSM) is a process based on a series of complex learnings. The conceptualization of the role of the emotional dimensions that underlie and structure this process is critical to better understand why living with diabetes can become a burden. A clinical case illustrates the intertwining of the affective and cognitive dimensions of diabetes burden and its influence on DSM skills. Emotional regulation is a recognized determinant to implement effective and long-term DSM skills as well as access to DSM interventions. In order to improve DSME/S interventions efficacy, the role of emotional dimensions, new technologies and therapeutic advances needs to be considered.;Diabetes Mellitus/psychology/*therapy, Diabetes Mellitus, Type 2/psychology/therapy, Emotional Regulation, Humans, Self Care, Self-Management
28727360;2017 Apr 26;[Musculoskeletal complications in diabetes mellitus].;Musculoskeletal abnormalities are common and multiple in diabetic patients. They often result from pathologic changes in the microvasculature (microangiopathy), connective tissue, and peripheral nerves related to chronic hyperglycaemia. Their prevalence in patients with diabetes vary depending upon the diagnostic criteria, the study population and is generally correlated with poor glycaemic control and the occurrence of other complications of diabetes. These entities are important to recognize because they often respond to treatment, preventing pain and disability and improving quality of life.;Diabetes Complications/epidemiology/etiology/physiopathology, Diabetes Mellitus/epidemiology/physiopathology, Diabetes Mellitus, Type 2/complications/epidemiology/physiopathology, Humans, Musculoskeletal Diseases/epidemiology/*etiology/physiopathology, Prevalence, Quality of Life, Range of Motion, Articular
30074235;2018;Chromogranin A and its role in the pathogenesis of diabetes mellitus.;Chromogranin A is a member of the granin glycoprotein family that is expressed by the endocrine and neuroendocrine cells of different organs. Intracellularly, chromogranin A contributes to the regulation of secretion and gives several cleavage products after secretion. Some of its cleavage products modify the hormone functions in autocrine and paracrine ways, while the functions of others have not been fully understood yet. Serum chromogranin A level is most prominently used in neuroendocrine tumour diagnostics. In addition, recent studies have suggested that chromogranin A and some of its cleavage products (pancreastatin and WE-14) also play important roles in the pathogenesis of the various forms of diabetes mellitus, but their exact mechanisms still need to be clarified. Higher chromogranin A, pancreastatin, and WE-14 levels have been reported in type 1, type 2, and gestational diabetic patients compared to healthy controls. A notable connection has been inferred through the observation that type 1 diabetes mellitus is not at all or rarely developed in chromogranin A gene-knockout, non-obese diabetic model mice compared to non-knockout, non-obese diabetic mice. Pancreastatin inhibits insulin release in various cell and animal models, and WE-14 serves as an autoantigen for both CD4+ and CD8+ beta cell-destructive diabetogenic T-cell clones in type 1 diabetes. Chromogranin A contributes to the pathogenesis of diabetes mellitus according to the available literature. The current findings facilitate further investigation to unravel the deeper relationships between this glycoprotein and diabetes.;Animals, Chromogranin A/*metabolism, Diabetes Mellitus/etiology/*metabolism, Diabetes Mellitus, Experimental/etiology/metabolism, Diabetes Mellitus, Type 1/etiology/metabolism, Diabetes Mellitus, Type 2/etiology/metabolism, Diabetes, Gestational/etiology/metabolism, Female, Humans, Mice, Mice, Inbred NOD, Pregnancy
12194653;2002 Aug;Diabetes mellitus and its chronic complications.;"Diabetes mellitus is a major cause of morbidity and mortality, and it is a major risk factor for early onset of coronary heart disease. Complications of diabetes are retinopathy, nephropathy, and peripheral neuropathy. Currently, treatment involves diet modification, weight reduction, exercise, oral medications, and insulin. In recent years, important advances have been made into the pathogenesis of diabetes that affect the cardiovascular, renal, and nervous systems; vision; and the lower extremities, especially the feet. The progression of diabetic retinopathy and nephropathy can be slowed or prevented with tight glucose and blood pressure control. Neuropathy remains a major problem causing significant impairment. Ongoing clinical trials and testing of various medications to determine their effectiveness in treating the complications of diabetes have met with some success, but there still is much to learn about this disease.";Chronic Disease, Diabetes Complications, Diabetes Mellitus/epidemiology/*nursing, Diabetes Mellitus, Type 1/complications/drug therapy, Diabetes Mellitus, Type 2/complications/drug therapy, Diabetic Neuropathies/etiology, Humans, Hypoglycemic Agents/therapeutic use, Male, Middle Aged, Perioperative Nursing, United States/epidemiology
34708622;2022 Jan 5;Diabetes mellitus: an overview of the types, symptoms, complications and management.;The incidence of diabetes mellitus is rapidly increasing, and this condition often results in significant metabolic disease and severe complications. Nurses have a crucial role in monitoring, educating and supporting people with diabetes, as well as their families and significant others. This article provides an overview of the main types and common symptoms of diabetes, its acute and long-term complications and its management. It also outlines the nurse's role in diabetes care, which frequently includes assessing and empowering patients. CI  - © 2021 RCN Publishing Company Ltd. All rights reserved. Not to be copied, transmitted or recorded in any way, in whole or part, without prior permission of the publishers.;Diabetes Mellitus/diagnosis/epidemiology/therapy. *Diabetes Mellitus, Type 1,
